Product ID,SKU,Name,From Category,To Category,FFL Before,FFL After,Status,Error
"123937","4WH-1-SBR-R","1791 4 WAY IWB/OWB SIGN BRN RH SZ 1","Handguns","Accessories","true","false","error","error: op ANY/ALL (array) requires array on right side"
"153933","AAC17-22G3MOD","ADV ARMS CONV KIT AAC17-22G3MOD","Handguns","Accessories","true","false","error","error: op ANY/ALL (array) requires array on right side"
"153934","AAC17-22G3MOD-CA","ADV ARMS CONV KIT AAC17-22G3MOD-CA","Handguns","Accessories","true","false","error","error: op ANY/ALL (array) requires array on right side"
"153935","AAC17-22G5MOD","ADV ARMS CONV KIT AAC17-22G5MOD","Handguns","Accessories","true","false","error","error: op ANY/ALL (array) requires array on right side"
"153936","AAC17-22G5MOD-CA","ADV ARMS CONV KIT AAC17-22G5MOD-CA","Handguns","Accessories","true","false","error","error: op ANY/ALL (array) requires array on right side"
"153937","AAC19-23G3MOD","ADV ARMS CONV KIT AAC19-23G3MOD","Handguns","Accessories","true","false","error","error: op ANY/ALL (array) requires array on right side"
"153938","AAC19-23G3MOD-CA","ADV ARMS CONV KIT AAC19-23G3MOD-CA","Handguns","Accessories","true","false","error","error: op ANY/ALL (array) requires array on right side"
"153939","AAC19-23G5MOD","ADV ARMS CONV KIT AAC19-23G5MOD","Handguns","Accessories","true","false","error","error: op ANY/ALL (array) requires array on right side"
"153940","AAC19-23G5MOD-CA","ADV ARMS CONV KIT AAC19-23G5MOD-CA","Handguns","Accessories","true","false","error","error: op ANY/ALL (array) requires array on right side"
"153944","AACG19-23G4","ADV ARMS CONV KIT FOR LE19-23 G4/BAG","Handguns","Accessories","true","false","error","error: op ANY/ALL (array) requires array on right side"
"153943","AACG19-23G3","ADV ARMS CONV KIT FOR LE19-23 W/BAG","Handguns","Accessories","true","false","error","error: op ANY/ALL (array) requires array on right side"
"153942","AAC1XD940-4","ADV ARMS CONV KIT XD940-4 W/BAG","Handguns","Accessories","true","false","error","error: op ANY/ALL (array) requires array on right side"
"124135","AAXTB1722","ADV ARMS THRDD BARREL FOR GLK 17/22","Handguns","Parts","true","false","error","error: op ANY/ALL (array) requires array on right side"
"124136","AAXTB1923","ADV ARMS THRDD BARREL FOR GLK 19/23","Handguns","Parts","true","false","error","error: op ANY/ALL (array) requires array on right side"
"154198","ADVA5102346","ADV TECH AK X1 PISTOL GRIP BLK","Handguns","Accessories","true","false","error","error: op ANY/ALL (array) requires array on right side"
"154231","ADVMAR3000","ADV TECH FIBERFORCE MARLIN STOCK","Handguns","Parts","true","false","error","error: op ANY/ALL (array) requires array on right side"
"154229","ADVFPG0100","ADV TECH FOREND PISTOL GRIP BLK","Handguns","Accessories","true","false","error","error: op ANY/ALL (array) requires array on right side"
"154237","ADVSKS3000","ADV TECH SKS FIBERFORCE STOCK","Handguns","Parts","true","false","error","error: op ANY/ALL (array) requires array on right side"
"154236","ADVSKS0300","ADV TECH SKS MONTE CARLO STOCK","Handguns","Parts","true","false","error","error: op ANY/ALL (array) requires array on right side"
